Contiguous U.S. May Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,59.92,-0.27
189605,62.44,2.25
189705,61.16,0.97
189805,59.94,-0.25
189905,59.88,-0.31
190005,61.72,1.53
190105,61.16,0.97
190205,61.97,1.78
190305,59.52,-0.67
190405,60.13,-0.06
190505,59.13,-1.06
190605,59.56,-0.63
190705,55.87,-4.32
190805,58.80,-1.39
190905,58.12,-2.07
191005,59.20,-0.99
191105,61.18,0.99
191205,60.46,0.27
191305,60.12,-0.07
191405,61.12,0.93
191505,58.15,-2.04
191605,59.31,-0.88
191705,55.11,-5.08
191805,60.78,0.59
191905,60.01,-0.18
192005,59.29,-0.90
192105,60.10,-0.09
192205,61.16,0.97
192305,59.50,-0.69
192405,57.88,-2.31
192505,59.99,-0.20
192605,61.00,0.81
192705,59.76,-0.43
192805,61.50,1.31
192905,58.84,-1.35
193005,59.22,-0.97
193105,59.41,-0.78
193205,60.49,0.30
193305,59.81,-0.38
193405,64.69,4.50
193505,57.31,-2.88
193605,63.45,3.26
193705,61.92,1.73
193805,59.83,-0.36
193905,62.69,2.50
194005,60.84,0.65
194105,62.31,2.12
194205,59.07,-1.12
194305,59.70,-0.49
194405,62.01,1.82
194505,58.26,-1.93
194605,58.75,-1.44
194705,60.12,-0.07
194805,60.22,0.03
194905,61.70,1.51
195005,59.43,-0.76
195105,60.76,0.57
195205,60.58,0.39
195305,59.16,-1.03
195405,58.57,-1.62
195505,61.27,1.08
195605,61.75,1.56
195705,59.63,-0.56
195805,62.40,2.21
195905,60.84,0.65
196005,59.29,-0.90
196105,58.86,-1.33
196205,62.22,2.03
196305,61.00,0.81
196405,61.41,1.22
196505,60.78,0.59
196605,60.17,-0.02
196705,57.61,-2.58
196805,58.15,-2.04
196905,61.39,1.20
197005,61.05,0.86
197105,58.24,-1.95
197205,60.51,0.32
197305,59.23,-0.96
197405,60.37,0.18
197505,60.35,0.16
197605,59.04,-1.15
197705,61.65,1.46
197805,59.72,-0.47
197905,59.13,-1.06
198005,60.26,0.07
198105,58.95,-1.24
198205,60.78,0.59
198305,57.94,-2.25
198405,60.06,-0.13
198505,62.06,1.87
198605,61.07,0.88
198705,62.94,2.75
198805,61.20,1.01
198905,60.44,0.25
199005,58.86,-1.33
199105,61.95,1.76
199205,61.14,0.95
199305,60.87,0.68
199405,60.66,0.47
199505,58.62,-1.57
199605,60.96,0.77
199705,59.38,-0.81
199805,62.46,2.27
199905,60.04,-0.15
200005,63.12,2.93
200105,62.80,2.61
200205,59.27,-0.92
200305,60.96,0.77
200405,61.90,1.71
200505,59.54,-0.65
200605,62.26,2.07
200705,62.31,2.12
200805,59.34,-0.85
200905,61.63,1.44
201005,59.86,-0.33
201105,59.11,-1.08
201205,63.43,3.24
201305,60.84,0.65
201405,61.27,1.08
201505,60.82,0.63
201605,60.31,0.12
201705,60.55,0.36
201805,65.50,5.31
201905,59.49,-0.70
202005,60.89,0.70
202105,60.33,0.14
202205,61.92,1.73
202305,62.38,2.19
202405,62.31,2.12
